id,start_date,TransactionJournal_id,primary_account_id,group_id,daily_sum,transaction_running_average,end_date
1,2023-01-04,3790946843,262072,4585,-2000,-2000,2023-01-04
2,2023-01-05,3794782092,262072,4585,-2000,-1330,2023-01-05
3,2023-01-07,3804185270,262072,4585,100000,33336,2023-01-09
4,2023-01-10,3811239199,262072,4585,100000,33336,2023-01-12
5,2023-01-18,3835204266,262072,4585,-2000,-665,2023-01-23
6,2023-01-22,3845509217,262072,4585,-2000,-666,2023-01-25
7,2023-01-26,3849238324,262072,4585,-2000,-1333,2023-01-26
8,2023-01-28,3857489320,262072,4585,-2000,-662,2023-01-29
9,2023-01-04,3791885702,262072,4586,-2000,-2000,2023-01-05
10,2023-01-05,3794318215,262072,4586,-2000,-662,2023-01-05
11,2023-01-06,3797068106,262072,4586,NULL,-1333,2023-01-09
12,2023-01-07,3804185281,262072,4586,-2000,-2000,2023-01-09
13,2023-01-10,3812352809,262072,4586,-2000,-1331,2023-01-12
14,2023-01-14,3822008171,262072,4586,-2000,20800,2023-01-16
15,2023-01-17,3840810915,262072,4586,-2000,-656,2023-01-24
16,2023-01-28,3857573989,262072,4586,-2000,-661,2023-01-29
17,2023-01-10,3809315663,262072,4587,-2000,32670,2023-01-12
18,2023-01-14,3820676969,262072,4587,-2000,-656,2023-01-16
19,2023-01-16,3827294776,262072,4587,-2000,-660,2023-01-18
20,2023-01-20,3830135999,262072,4587,-2000,-659,2023-01-20
21,2023-01-26,3848416213,262072,4587,-2000,-662,2023-01-26
22,2023-01-28,3854494303,262072,4587,-2000,-657,2023-01-29
23,2023-01-29,3857786874,262072,4587,-2000,-662,2023-01-29
24,2023-01-31,3861325478,262072,4587,-2000,-1330,2999-01-01
25,2023-01-05,3797001744,262072,4588,-2000,-1330,2023-01-06
26,2023-01-07,3804185283,262072,4588,-2000,-2000,2023-01-09
27,2023-01-04,3845871558,262072,4590,-2000,-1323,2023-01-25
28,2023-01-26,3850720822,262072,4590,-2000,32000,2023-01-27
29,2023-01-05,3805546901,262072,4591,-2000,-2000,2023-01-09
30,2023-01-10,3842428042,262072,4591,-2000,-661,2023-01-24
31,2023-01-25,3846609274,262072,4591,-2000,-661,2023-01-26
32,2023-01-26,3860127950,262072,4591,-2000,-1326,2023-01-30
33,2023-01-06,3804185287,262072,4592,-2000,-2000,2023-01-09
34,2023-01-10,3860771125,262072,4592,-2000,-662,2023-01-30
35,2023-01-02,3786094562,262072,4593,-2000,-1330,2023-01-02
36,2023-01-04,3805360602,262072,4593,-2000,-1333,2023-01-09
37,2023-01-10,3807517536,262072,4593,-2000,-655,2023-01-11
38,2023-01-11,3812204557,262072,4593,-2000,-666,2023-01-12
39,2023-01-13,3817242902,262072,4593,-2000,-666,2023-01-15
40,2023-01-15,3822508470,262072,4593,-2000,-2000,2023-01-16
41,2023-01-17,3827379628,262072,4593,-2000,-660,2023-01-18
42,2023-01-19,3849129384,262072,4593,-2000,-665,2023-01-26
43,2023-01-28,3858155240,262072,4593,-2000,-658,2023-01-29
44,2023-01-04,3793578000,262072,4594,-2000,43260,2023-01-05
45,2023-01-06,3812807062,262072,4594,-2000,-1331,2023-01-13
46,2023-01-13,3824608766,262072,4594,-2000,-1331,2023-01-18
47,2023-01-18,3832754294,262072,4594,-2000,-665,2023-01-21
48,2023-01-21,3843901919,262072,4594,-2000,-663,2023-01-25
49,2023-01-25,3859924237,262072,4594,-2000,-657,2023-01-30
50,2023-01-04,3804185279,262072,4595,-2000,-2000,2023-01-09
